Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
605075,"9311679 5 35    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,90200,170900,0,261100,316 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605078,"7423DQ 5 15-17    SE-12-20-3-5    11,880 Sq. Feet",T,2,Residential,I  Individual,108200,121400,0,229600,320 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605090,"7423DQ 5 18,19    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,98100,71600,0,169700,324 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605100,"7423DQ 5 20    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,64500,97100,0,161600,328 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605110,"3603FD 5 21,W22    SE-12-20-3-5    10,200 Sq. Feet",T,2,Residential,I  Individual,106000,201100,0,307100,321 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,WEST HALF OF LOT 21 AND LOT 22,TV,2021
605120,"3603FD 5 E22P23    SE-12-20-3-5    7,800 Sq. Feet",T,2,Residential,I  Individual,97600,113600,0,211200,319 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605125,"3603FD 5 P23,24    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,95400,191400,0,286800,317 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605130,"3603FD 5 25    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,159300,0,250400,315 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605135,"3603FD 5 W26    SE-12-20-3-5    5,400 Sq. Feet",T,2,Residential,I  Individual,84100,237000,0,321100,313 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605140,"3603FD 5 E26,27    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,93200,172300,0,265500,311 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
